For PC or kiln tph,KILN SPEED (rpm),KILN AMPS ,P.H.Fan1 Speed (rpm),P.H.Fan2 Speed (rpm),PH-1 I/L temp. (oC),PH-1  I/L DRAUGHT (MMWG),PH-2 I/L temp. (oC),PH-2  I/L DRAUGHT (MMWG),P.C. O/L,Kiln inlet draught (mmwg),Kiln inlet temp. (oC),Ter. Air temp. (oC),P.C. O/L temp. (oC),P.C. O/L        CO (ppm),P.H-2 O/L CO(ppm),P.H. FAN-1 KW,P.H. FAN-2 KW,TERTIARY AIR DUCT DRAFT 1
26,4.93,676,857,855,300,-649,279,-670,-89,-81,947,985,881,694,304,772,804,-80.52
26,4.94,674,857,856,301,-651.3,281,-673,-89,-90.3,934,999,880,894,304,778,804,-88.45
26,4.94,638,857,857,296,-649,281,-670,-100,-85.4,907,1007,875,651,321,776,812,-82.16
26,4.94,646,857,856,300,-634.3,280,-660,-88,-87.4,891,998,881,807,269,778,811,-84.21
25.9,4.93,647,857,856,293,-638.1,283,-651,-81,-74.6,905,998,891,87,208,777,799,-75.21
25.9,4.94,664,857,856,298,-642.7,281,-663,-87,-78.5,965,994,893,503,156,780,812,-79.86
25.9,4.93,664,857,856,294,-650.5,280,-667,-89,-84.6,984,995,897,200,87,777,796,-84.84
25.8,4.94,697,858,856,294,-647.9,282,-665,-90,-87.5,974,983,895,738,43,768,806,-87.48
25.3,4.94,681,857,855,291,-649.8,282,-664,-97,-82.9,960,993,897,703,43,768,787,-85.94
25.4,4.94,661,858,855,295,-646.2,281,-668,-92,-90.7,962,988,897,556,43,786,818,-88.97
25.5,4.94,619,857,856,297,-659.8,279,-678,-92,-93.6,938,983,897,252,43,781,815,-90.85
26,4.88,656,857,857,301,-654.4,281,-680,-93,-87.3,955,975,890,538,35,767,814,-87.64
26,4.88,641,857,857,297,-650.3,281,-663,-84,-84.1,935,982,890,512,61,789,819,-84.6
26,4.88,637,857,856,296,-647.6,284,-660,-85,-79.8,914,991,883,69,61,766,794,-82.71
25.9,4.88,685,858,856,301,-643.6,286,-660,-92,-73.9,903,992,889,903,61,770,805,-76.89
26,4.88,674,857,856,298,-653.7,284,-668,-87,-84.2,904,1003,901,156,608,782,807,-85.69
26,4.87,686,858,857,294,-654,287,-659,-88,-85.8,929,999,895,807,321,772,801,-86.32
25.7,4.88,676,857,856,299,-647.8,283,-665,-91,-81.4,953,987,903,122,321,765,804,-82.84
25.8,4.88,688,857,856,296,-657.6,284,-669,-91,-87.3,955,991,893,339,330,779,809,-90.63
25.8,4.88,691,857,856,287,-672.4,288,-670,-95,-91.2,962,992,888,608,321,777,795,-92.46
25.2,4.88,679,857,856,296,-662.8,282,-682,-96,-92.9,959,996,896,703,330,795,829,-94.71
25.4,4.88,660,857,856,293,-657.8,283,-677,-95,-88,949,993,887,573,321,778,818,-88
25.4,4.88,636,857,856,291,-659,285,-672,-91,-90.3,942,991,891,616,347,804,817,-87.69
25.6,4.88,638,858,856,291,-664.6,284,-670,-98,-87.7,909,982,891,182,295,788,805,-85.41
25.8,4.87,659,857,857,296,-654.1,285,-668,-89,-87.6,890,997,896,356,260,791,816,-83.86
26,4.88,629,857,856,294,-643.4,281,-665,-83,-78.8,862,1010,889,78,234,772,824,-77.72
25.8,4.88,646,857,856,295,-651.9,283,-663,-88,-79.8,894,1003,897,703,781,780,798,-81.02
25.4,4.88,628,857,856,296,-642.1,281,-668,-91,-85.1,958,986,895,1007,816,779,815,-83.15
25.6,4.94,657,858,856,295,-650.2,281,-668,-95,-85.2,963,985,903,599,252,791,813,-85.92
25.4,4.94,662,857,855,296,-653.3,282,-665,-88,-80.4,966,984,900,321,260,798,808,-80.2
25.4,4.94,642,857,856,292,-657.3,286,-662,-93,-88.2,960,982,907,599,243,783,805,-86.34
26,4.94,610,858,856,288,-658.3,287,-660,-88,-91.6,929,983,897,720,243,797,808,-86.61
26,4.94,612,858,856,289,-654.9,290,-651,-89,-86.6,905,984,911,677,260,803,815,-81.45
25.9,4.94,639,857,855,295,-649.9,286,-653,-87,-80.2,891,991,893,148,234,788,796,-81.19
26,4.94,646,858,856,290,-646.1,288,-655,-83,-80.6,895,1001,892,269,417,794,824,-80.75
26,4.94,645,857,856,299,-641.1,282,-656,-84,-78.8,902,1001,901,434,365,769,805,-78.36
26,4.94,657,858,857,296,-643.7,285,-659,-86,-82.7,897,1006,891,642,295,785,822,-80.78
25.9,4.94,676,857,856,293,-650.2,286,-655,-86,-76.8,940,995,893,616,269,783,798,-79.1
26,4.94,689,858,857,297,-652.4,280,-667,-93,-86,974,1000,896,946,590,770,802,-88.14
26,4.93,679,857,856,289,-655,282,-670,-89,-83.1,961,999,886,286,243,789,823,-83.59
26,4.93,668,858,856,294,-659,277,-667,-93,-82.2,956,996,883,104,668,792,815,-87.06
25.7,4.94,633,858,857,291,-655.2,279,-660,-95,-88.2,938,986,882,278,243,780,801,-87.57
26,4.94,636,857,855,286,-659.4,286,-661,-86,-84.3,929,976,885,434,226,794,819,-84.29
